S.No,Location Id,Address,Pin Code,District,ULB Categorisation,,
136,136,"near by subhas nagar mandir, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
137,137,"bhim Gary kheda, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
138,138,"bhim Gary kheda, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
139,139,"Kattar pur gurgaun, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
140,140,"Kattar pur gurgaun, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
141,141,"Bharat petrol pump Laxman vihar phes-1 main rail way road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
142,142,"Bharat petrol pump Laxman vihar phes-1 main rail way road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
143,143,"khera, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
144,144,"khera, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
145,145,"Sec 5 gurgaoun, Gurgaon, Delhi NCR",122051,Gurgaon,Municipal Corporation of Gurgaon,,
146,146,"Sec 5 gurgaoun, Gurgaon, Delhi NCR",122051,Gurgaon,Municipal Corporation of Gurgaon,,
147,147,"Ralway road gurgaun 122001, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
148,148,"Ralway road gurgaun 122001, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
149,149,"Gurgaun ralwaystetion, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
150,150,"Gurgaun ralwaystetion, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
151,151,"Bharat petroleum Chawla road, Delhi, Delhi NCR",110071,South West delhi,South Delhi Municipal Corporation,,
152,152,"Bharat petroleum Chawla road, Delhi, Delhi NCR",110071,South West delhi,South Delhi Municipal Corporation,,
153,153,"sector 5, Gurgaon, Delhi NCR",122051,Gurgaon,Municipal Corporation of Gurgaon,,
154,154,"sector 5, Gurgaon, Delhi NCR",122051,Gurgaon,Municipal Corporation of Gurgaon,,
155,155,"railway road market, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
156,156,"railway road market, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
157,157,"Ralwayroad, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
158,158,"Ralwayroad, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
159,159,"sector 5, Gurgaon, Delhi NCR",122051,Gurgaon,Municipal Corporation of Gurgaon,,
160,160,"sector 5, Gurgaon, Delhi NCR",122051,Gurgaon,Municipal Corporation of Gurgaon,,
161,161,"sector 5, Gurgaon, Delhi NCR",122051,Gurgaon,Municipal Corporation of Gurgaon,,
162,162,"sector 5, Gurgaon, Delhi NCR",122051,Gurgaon,Municipal Corporation of Gurgaon,,
163,163,"shivaji nagar main market, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
164,164,"shivaji nagar main market, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
165,165,"sector 4 new railway road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
166,166,"sector 4 new railway road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
167,167,"MCG office, Sector-34 Gurgaon, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
168,168,"MCG office, Sector-34 Gurgaon, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
169,169,"parkash.puri.rajeenda.park, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
170,170,"parkash.puri.rajeenda.park, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
171,171,"shanti nagar, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
172,172,"shanti nagar, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
173,173,"shivaji nagar, khandsa road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
174,174,"shivaji nagar, khandsa road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
175,175,"siri.visvakarma.mandir.new.palam Bihar., Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
176,176,"siri.visvakarma.mandir.new.palam Bihar., Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
177,177,"new railway road, Gurgaon, Delhi NCR",122022,Gurgaon,Municipal Corporation of Gurgaon,,
178,178,"new railway road, Gurgaon, Delhi NCR",122022,Gurgaon,Municipal Corporation of Gurgaon,,
179,179,"gurdwara.Singh.sabha.palam.vihar, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
180,180,"new.palam.Bihar. gauri.Shankar.Mandir, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
181,181,"palam. Bihar.shree.gauri.Shankar.Mandir, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
182,182,"palam. Bihar. gurgaon.Kali.mata.mandir, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
183,183,"dayanand colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
184,184,"shanti nagar market, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
185,185,"palam Bihar bajgera.bijali.office, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
186,186,"day an and colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
187,187,"near bhim nagar Greta Saar mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
188,188,"near bhim nagar mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
189,189,"prem Mandir subhash nagar near DST college, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
190,190,"near sbhas nagar mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
191,191,"rama hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
192,192,"cms complex ashok vihar phase 2, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
193,193,"masjid. saray.alavardhi, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
194,194,"palam.Bihar. saket.sham.siri.ram.janki.mandir, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
195,195,"palam vihar road h.p ashok vihar -3, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
196,196,"ashok vihar market, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
197,197,"near bhim nagar men rod mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
198,198,"shiv vihar gurgao, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
199,199,"near endra pura mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
200,200,"near nai basti Kali mata mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
201,201,"near bhim nagar hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
202,202,"near nai basti balmiki mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
203,203,"neer jagpura rod mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
204,204,"neer jagpura man rod, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
205,205,"Sadat bajar jagpura rod, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
206,206,"sanjay colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
207,207,"Sona chock parking near Samrat bekring railway road, Gurgaon, Delhi NCR",122016,Gurgaon,Municipal Corporation of Gurgaon,,
208,208,"ne'er Sadat bajar paking, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
209,209,"sanjay colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
210,210,"sanjay colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
211,211,"sanjak colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
212,212,"sanjay colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
213,213,"sanjay colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
214,214,"ne'er by Sadat bajar jams maszid, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
215,215,"sanjay colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
216,216,"life line health care hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
217,217,"sanjak colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
218,218,"Sarah.hanuman. mandir, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
219,219,"truck market jail road near jama masjid, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
220,220,"Sec.5 bharat petrolium, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
221,221,"mini Secretariat gurgaon, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
222,222,"Vijay sales, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
223,223,"thakral bursting home, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
224,224,"ne'er jagpura kreshan mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
225,225,"Indian oil petrol pump, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
226,226,"main market near sheetla mata mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
227,227,"mini court gurgaun, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
228,228,"mianwali colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
229,229,"near endra pura mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
230,230,"mianwali gali, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
231,231,"Sadat bajar yasin plans market, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
232,232,"aakashi petrol pump ashok vihaar, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
233,233,"bhim gad, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
234,234,"mianwali colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
235,235,"mianwali colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
236,236,"near  jawar nagar mandir, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
237,237,"mianwali colony, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
238,238,"Sarah Gaon Near Fatak, Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
